Name Note - Flight recorder (dmz2)

Interactability_Text_Line_0 ONO (orbital nuclear ordinance) transport "Rum runner" Log
Interactability_Text_Line_1 - - -
Interactability_Text_Line_2 Final approach lineup adjustment concluded
Interactability_Text_Line_3 - - -
Interactability_Text_Line_4 Entering Final for Blackwood Aerospace
Interactability_Text_Line_5 - - -
Interactability_Text_Line_6 Oh god, what is that?
Interactability_Text_Line_7 - - -
Interactability_Text_Line_8 Some sort of bright light
Interactability_Text_Line_9 - - -
Interactability_Text_Line_10 S**t, look out!
Interactability_Text_Line_11 - - -
Interactability_Text_Line_12 Were losing power!, APU is no good
Interactability_Text_Line_13 - - -
Interactability_Text_Line_14 Were going down!
